RowDiagonalDominance,Edge,DiagonalNonZeros,DiagonalSign,AvgDiagonalDistance,AbsoluteTrace,OneNorm,Trace,AvgNonzerosPerRow,ColumnDiagonalDominance,NonZeroPatternSymmetry,AbsoluteNonZeroSum,InfinityNorm,SymmetricFrobeniusNorm,upperBandwidth,Dimension,Symmetricity,MinNonZeroPerRow,DiagonalAverage,SymmeticInfinityNorm,DiagonalMean,Interior,FrobeniusNorn,RowVariance,AntiSymmetricFrobeniusNorm,lowerBandwidth,npoints,nnz,CommSize,MaxNonZeroPerRow,AntiSymmerticInfinityNorm,ColumnVariance,time,solver,matrix_name,class
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,1.79769313486e+308,89565283, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.61781,45869638, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.44786,45869637, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.017405,89269802, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.02773,89269803, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.03484,89269804, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.19675,30870721, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.14135,30870720, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,1.79769313486e+308,64278029, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,1.79769313486e+308,44526267, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.23045,95762352, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.84591,49834419, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.082935,49834418, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.021966,11256943, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.012834,11256941, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.013461,11256944, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,1.79769313486e+308,17887723, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,1.79769313486e+308,53362206, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,9.25E-05,75830644, cavity16,bad
0,10,3801.67,-1,69.7857,9580.2,12,10563.6,2.2,1,0,19160.4,8,5437.87,230,4562,0,0,0.0165717,9,2.31556,10,5120.83,1.08657,0,310,30,10036.4,1,1,0,0.00276236,0.17153,95762353, cavity16,bad
