Trace,SymmetricFrobeniusNorm,upperBandwidth,Dimension,DiagonalMean,FrobeniusNorn,lowerBandwidth,nnz,ColumnVariance,solver,class
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,89565283,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,45869638,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,45869637,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,89269802,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,89269803,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,89269804,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,30870721,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,30870720,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,64278029,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,44526267,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,95762352,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,49834419,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,49834418,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,11256943,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,11256941,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,11256944,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,17887723,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,53362206,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,75830644,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,95762353,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,47942864,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,47942865,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,47942866,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,8520536,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,82456576,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,95762354,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,90783920,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,30870723,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,45869640,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,36564233,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,75830645,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,36564234,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,81986705,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,37052870,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,37052871,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,80361467,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,80361464,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,80361465,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,49834420,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,1216556,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,36564235,bad
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,75830647,good
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.002762,37052868,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,89565283,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,91036839,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,45869639,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,45869638,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,45869637,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,89269802,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,89269803,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,89269801,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,89269804,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,30870721,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,53302993,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,30870720,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,64278029,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,44526267,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,95762352,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,49834417,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,49834419,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,49834418,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,11256942,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,11256943,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,11256941,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,42851841,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,11256944,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,31459546,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,17887723,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,91845162,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,53362206,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,95762355,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,12321508,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,75830644,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,95762353,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,85483012,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,47942866,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,8520536,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,82456576,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,95762354,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,90783920,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,99720138,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,30870723,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,30870722,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,13323659,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,45869640,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,36564233,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,36564232,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,75830645,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,36564234,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,81986705,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,37052870,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,37052871,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,80361466,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,80361467,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,80361464,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,80361465,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,49834420,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,1216556,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,36564235,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,75830647,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,75830646,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,18524981,bad
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,37052869,good
10698.8,4774.76,5320,5321,2.01067,5755.54,5320,10109.9,0.002199,37052868,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,89565283,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,45869638,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,45869637,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,89269803,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,89269804,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,30870721,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,30870720,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,64278029,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,44526267,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,95762352,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,49834419,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,11256943,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,11256944,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,17887723,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,53362206,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,75830644,good
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,95762353,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,47942864,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,47942865,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,8520536,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,82456576,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,90783920,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,75830645,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,36564234,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,81986705,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,37052870,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,37052871,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,80361464,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,80361465,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,49834420,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,1216556,bad
13163.4,6479.29,0,20896,0.629949,4672.49,0,10448,0.000024,36564235,bad
853017,122363,123,124,6879.17,126210,123,10453.2,74946.2,89565283,bad
853017,122363,123,124,6879.17,126210,123,10453.2,74946.2,91036839,bad
853017,122363,123,124,6879.17,126210,123,10453.2,74946.2,45869639,bad
853017,122363,123,124,6879.17,126210,123,10453.2,74946.2,45869638,bad
853017,122363,123,124,6879.17,126210,123,10453.2,74946.2,45869637,bad
853017,122363,123,124,6879.17,126210,123,10453.2,74946.2,47942867,bad
853017,122363,123,124,6879.17,126210,123,10453.2,74946.2,89269802,bad
853017,122363,123,124,6879.17,126210,123,10453.2,74946.2,89269803,bad
853017,122363,123,124,6879.17,126210,123,10453.2,74946.2,89269801,bad
