Trace,SymmetricFrobeniusNorm,upperBandwidth,Dimension,DiagonalMean,FrobeniusNorn,lowerBandwidth,nnz,ColumnVariance,solver
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,89565283
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,45869638
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,45869637
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,89269802
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,89269803
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,89269804
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,30870721
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,30870720
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,64278029
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,44526267
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,95762352
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,49834419
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,49834418
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,11256943
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,11256941
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,11256944
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,17887723
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,53362206
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,75830644
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,95762353
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,47942864
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,47942865
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,47942866
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,8520536
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,82456576
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,95762354
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,90783920
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,30870723
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,45869640
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,36564233
10563.6,5437.87,230,4562,2.31556,5120.83,310,10036.4,0.00276236,75830645
