259578,392.112,662,662,1437.13,1422.9,259578,8,1603087584,bad
5.67709e+14,4.73091e+13,12,12,3.16659e+14,2.79276e+14,5.67709e+14,8,1603091428,bad
1.67541e+06,1472.24,1138,1138,20000,10000,1.67541e+06,8,1603088545,bad
259578,392.112,662,662,1437.13,1422.9,259578,8,1603088545,bad
5.67709e+14,4.73091e+13,12,12,3.16659e+14,2.79276e+14,5.67709e+14,8,1119856752,bad
259578,392.112,662,662,1437.13,1422.9,259578,8,1119856752,good
5.67709e+14,4.73091e+13,12,12,3.16659e+14,2.79276e+14,5.67709e+14,8,1603087584,bad
259578,392.112,662,662,1437.13,1422.9,259578,8,1603089506,bad
1.67541e+06,1472.24,1138,1138,20000,10000,1.67541e+06,8,1603090467,bad
259578,392.112,662,662,1437.13,1422.9,259578,8,1603090467,bad
1.67541e+06,1472.24,1138,1138,20000,10000,1.67541e+06,8,1119856752,good
259578,392.112,662,662,1437.13,1422.9,259578,8,1603091428,bad
5.67709e+14,4.73091e+13,12,12,3.16659e+14,2.79276e+14,5.67709e+14,8,1603090467,good
5.67709e+14,4.73091e+13,12,12,3.16659e+14,2.79276e+14,5.67709e+14,8,1603088545,bad
1.67541e+06,1472.24,1138,1138,20000,10000,1.67541e+06,8,1603091428,bad
1.67541e+06,1472.24,1138,1138,20000,10000,1.67541e+06,8,1603089506,bad
5.67709e+14,4.73091e+13,12,12,3.16659e+14,2.79276e+14,5.67709e+14,8,1603089506,bad
1.67541e+06,1472.24,1138,1138,20000,10000,1.67541e+06,8,1603087584,bad
