/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_1_1.mat , 357856,11094123,4689517,8885888,6920815
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_1_1.mat , 357856,10377967,4322025,8354456,6468747
 Matrix , NNZ, Solve Time  , Extraction_5_5, Extraction_10_10, Extraction_10_5
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_1_1.mat , 357856,16278746,7214007,16820969,12017480
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_1_1.mat , 357856,15090823,8719235,16365782,11139024
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_2_1.mat , 357856,9996699,4467432,8794651,6458528
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_2_1.mat , 357856,9818899,4289933,8276155,6225753
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_2_1.mat , 357856,10280947,4535523,8451485,6400768
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_2_1.mat , 357856,10222164,4460437,8478592,6253134
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_3_1.mat , 357856,10072349,4389441,8342913,6251597
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_3_1.mat , 357856,10955713,4513005,9068665,6668527
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_3_1.mat , 357856,15203635,6512606,13274747,9995895
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_3_1.mat , 357856,14275101,6728090,13289812,9939523
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_4_1.mat , 357856,10578719,4439313,8908630,6552865
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_4_1.mat , 357856,9699870,4250467,8230074,6167829
